TEAM	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
ARI	KC	@LV	LAR	@CAR	PHI	@SEA	NO	@MIN	SEA	@LAR	SF	LAC	BYE	NE	@DEN	TB	@ATL	@SF
ATL	NO	@LAR	@SEA	CLE	@TB	SF	@CIN	CAR	LAC	@CAR	CHI	@WSH	PIT	BYE	@NO	@BAL	ARI	TB
BAL	@NYJ	MIA	@NE	BUF	CIN	@NYG	CLE	@TB	@NO	BYE	CAR	@JAX	DEN	@PIT	@CLE	ATL	PIT	@CIN
BUF	@LAR	TEN	@MIA	@BAL	PIT	@KC	BYE	GB	@NYJ	MIN	CLE	@DET	@NE	NYJ	MIA	@CHI	@CIN	NE
CAR	CLE	@NYG	NO	ARI	SF	@LAR	TB	@ATL	@CIN	ATL	@BAL	DEN	BYE	@SEA	PIT	DET	@TB	@NO
CHI	SF	@GB	HOU	@NYG	@MIN	WSH	@NE	@DAL	MIA	DET	@ATL	@NYJ	GB	BYE	PHI	BUF	@DET	MIN
CIN	PIT	@DAL	@NYJ	MIA	@BAL	@NO	ATL	@CLE	CAR	BYE	@PIT	@TEN	KC	CLE	@TB	@NE	BUF	BAL
CLE	@CAR	NYJ	PIT	@ATL	LAC	NE	@BAL	CIN	BYE	@MIA	@BUF	TB	@HOU	@CIN	BAL	NO	@WSH	@PIT
DAL	TB	CIN	@NYG	WSH	@LAR	@PHI	DET	CHI	BYE	@GB	@MIN	NYG	IND	HOU	@JAX	PHI	@TEN	@WSH
DEN	@SEA	HOU	SF	@LV	IND	@LAC	NYJ	@JAX	BYE	@TEN	LV	@CAR	@BAL	KC	ARI	@LAR	@KC	LAC
DET	PHI	WSH	@MIN	SEA	@NE	BYE	@DAL	MIA	GB	@CHI	@NYG	BUF	JAX	MIN	@NYJ	@CAR	CHI	@GB
GB	@MIN	CHI	@TB	NE	NYG	NYJ	@WSH	@BUF	@DET	DAL	TEN	@PHI	@CHI	BYE	LAR	@MIA	MIN	DET
HOU	IND	@DEN	@CHI	LAC	@JAX	BYE	@LV	TEN	PHI	@NYG	WSH	@MIA	CLE	@DAL	KC	@TEN	JAX	@IND
IND	@HOU	@JAX	KC	TEN	@DEN	JAX	@TEN	WSH	@NE	@LV	PHI	PIT	@DAL	BYE	@MIN	LAC	@NYG	HOU
JAX	@WSH	IND	@LAC	@PHI	HOU	@IND	NYG	DEN	LV	@KC	BYE	BAL	@DET	@TEN	DAL	@NYJ	@HOU	TEN
KC	@ARI	LAC	@IND	@TB	LV	BUF	@SF	BYE	TEN	JAX	@LAC	LAR	@CIN	@DEN	@HOU	SEA	DEN	@LV
LV	@LAC	ARI	@TEN	DEN	@KC	BYE	HOU	@NO	@JAX	IND	@DEN	@SEA	LAC	@LAR	NE	@PIT	SF	KC
LAR	BUF	ATL	@ARI	@SF	DAL	CAR	BYE	SF	@TB	ARI	@NO	@KC	SEA	LV	@GB	DEN	@LAC	@SEA
LAC	LV	@KC	JAX	@HOU	@CLE	DEN	SEA	BYE	@ATL	@SF	KC	@ARI	@LV	MIA	TEN	@IND	LAR	@DEN
MIA	NE	@BAL	BUF	@CIN	@NYJ	MIN	PIT	@DET	@CHI	CLE	BYE	HOU	@SF	@LAC	@BUF	GB	@NE	NYJ
MIN	GB	@PHI	DET	@NO	CHI	@MIA	BYE	ARI	@WSH	@BUF	DAL	NE	NYJ	@DET	IND	NYG	@GB	@CHI
NE	@MIA	@PIT	BAL	@GB	DET	@CLE	CHI	@NYJ	IND	BYE	NYJ	@MIN	BUF	@ARI	@LV	CIN	MIA	@BUF
NO	@ATL	TB	@CAR	MIN	SEA	CIN	@ARI	LV	BAL	@PIT	LAR	@SF	@TB	BYE	ATL	@CLE	@PHI	CAR
NYG	@TEN	CAR	DAL	CHI	@GB	BAL	@JAX	@SEA	BYE	HOU	DET	@DAL	WSH	PHI	@WSH	@MIN	IND	@PHI
NYJ	BAL	@CLE	CIN	@PIT	MIA	@GB	@DEN	NE	BUF	BYE	@NE	CHI	@MIN	@BUF	DET	JAX	@SEA	@MIA
PHI	@DET	MIN	@WSH	JAX	@ARI	DAL	BYE	PIT	@HOU	WSH	@IND	GB	TEN	@NYG	@CHI	@DAL	NO	NYG
PIT	@CIN	NE	@CLE	NYJ	@BUF	TB	@MIA	@PHI	BYE	NO	CIN	@IND	@ATL	BAL	@CAR	LV	@BAL	CLE
SF	@CHI	SEA	@DEN	LAR	@CAR	@ATL	KC	@LAR	BYE	LAC	@ARI	NO	MIA	TB	@SEA	WSH	@LV	ARI
SEA	DEN	@SF	ATL	@DET	@NO	ARI	@LAC	NYG	@ARI	@TB	BYE	LV	@LAR	CAR	SF	@KC	NYJ	LAR
TB	@DAL	@NO	GB	KC	ATL	@PIT	@CAR	BAL	LAR	SEA	BYE	@CLE	NO	@SF	CIN	@ARI	CAR	@ATL
TEN	NYG	@BUF	LV	@IND	@WSH	BYE	IND	@HOU	@KC	DEN	@GB	CIN	@PHI	JAX	@LAC	HOU	DAL	@JAX
WSH	JAX	@DET	PHI	@DAL	TEN	@CHI	GB	@IND	MIN	@PHI	@HOU	ATL	@NYG	BYE	NYG	@SF	CLE	DAL
